,Company Name,Alt Name,Website,Service Type,Coordinates,Zipcode
0,ELLERO S.R.L.,,www.ellero-fcagroup.it/concessionario/abarth?locationCode=00006981&bannerid=DL&source=WCOR,sales,"(7.491018, 44.649483)",12037
1,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00006980&bannerid=DL&source=WCOR,sales,"(7.306126, 44.882829)",10064
2,TUA S.P.A.,,www.tua-fcagroup.it/concessionario/abarth?locationCode=00007565&bannerid=DL&source=WCOR,sales,"(7.554585, 44.42474)",12100
3,QUEEN CAR S.R.L.,,www.queencar-fcagroup.it/concessionario/abarth?locationCode=00008241&bannerid=DL&source=WCOR,sales,"(7.774415, 44.855186)",10022
4,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005968&bannerid=DL&source=WCOR,sales,"(7.847117, 44.680754)",12042
5,Torino Auto S.p.A.,,www.torinoauto-fcagroup.it/concessionario/abarth?locationCode=00004018&bannerid=DL&source=WCOR,sales,"(7.615714, 45.032198)",10137
6,TORINO AUTO S.P.A.,,www.torinoauto-fcagroup.it/concessionario/abarth?locationCode=00008160&bannerid=DL&source=WCOR,sales,"(7.584874, 45.05268)",10095
7,STELLANTIS &YOU TORINO,,www.mirafiorimotorvillage.it/concessionario/abarth?locationCode=00006997&bannerid=DL&source=WCOR,sales,"(7.624568, 45.034276)",10137
8,Autoingros Torino S.p.A.,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004102&bannerid=DL&source=WCOR,sales,"(7.638524, 45.056967)",10141
9,Ellero S.r.l.,,www.ellero-fcagroup.it/concessionario/abarth?locationCode=00000491&bannerid=DL&source=WCOR,sales,"(7.812588, 44.398657)",12084
10,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005990&bannerid=DL&source=WCOR,sales,"(7.674795, 45.077191)",10122
11,FORZA SERVICE S.R.L.,, ,sales,"(7.673155, 45.105282)",10148
12,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005974&bannerid=DL&source=WCOR,sales,"(7.68497, 45.106848)",10148
13,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005967&bannerid=DL&source=WCOR,sales,"(8.019071, 44.689575)",12051
14,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004097&bannerid=DL&source=WCOR,sales,"(7.65568, 45.141996)",10071
15,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004097&bannerid=DL&source=WCOR,sales,"(7.65568, 45.141996)",10071
16,TORINO AUTO S.P.A.,,www.torinoauto-fcagroup.it/concessionario/abarth?locationCode=00008160&bannerid=DL&source=WCOR,sales,"(7.584874, 45.05268)",10095
17,FORZA SERVICE S.R.L.,, ,sales,"(7.673155, 45.105282)",10148
18,Autoingros Torino S.p.A.,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004102&bannerid=DL&source=WCOR,sales,"(7.638524, 45.056967)",10141
19,Torino Auto S.p.A.,,www.torinoauto-fcagroup.it/concessionario/abarth?locationCode=00004018&bannerid=DL&source=WCOR,sales,"(7.615714, 45.032198)",10137
20,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005974&bannerid=DL&source=WCOR,sales,"(7.68497, 45.106848)",10148
21,STELLANTIS &YOU TORINO,,www.mirafiorimotorvillage.it/concessionario/abarth?locationCode=00006997&bannerid=DL&source=WCOR,sales,"(7.624568, 45.034276)",10137
22,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005990&bannerid=DL&source=WCOR,sales,"(7.674795, 45.077191)",10122
23,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00006980&bannerid=DL&source=WCOR,sales,"(7.306126, 44.882829)",10064
24,Nuova Auto Alpina S.r.l.,,www.autoalpina-fcagroup.it/concessionario/abarth?locationCode=00001204&bannerid=DL&source=WCOR,sales,"(7.31949, 45.72804)",11020
25,NUOVA AUTO ALPINA S.R.L.,,www.autoalpina-fcagroup.it/concessionario/abarth?locationCode=00006845&bannerid=DL&source=WCOR,sales,"(7.90578, 45.46966)",10015
26,QUEEN CAR S.R.L.,,www.queencar-fcagroup.it/concessionario/abarth?locationCode=00008241&bannerid=DL&source=WCOR,sales,"(7.774415, 44.855186)",10022
27,ELLERO S.R.L.,,www.ellero-fcagroup.it/concessionario/abarth?locationCode=00006981&bannerid=DL&source=WCOR,sales,"(7.491018, 44.649483)",12037
28,Logica S.p.A.,,www.logica-fcagroup.it/concessionario/abarth?locationCode=00003825&bannerid=DL&source=WCOR,sales,"(8.056298, 45.569614)",13900
29,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005968&bannerid=DL&source=WCOR,sales,"(7.847117, 44.680754)",12042
30,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005967&bannerid=DL&source=WCOR,sales,"(8.019071, 44.689575)",12051
31,QUEEN CAR S.R.L.,,www.queencar-fcagroup.it/concessionario/abarth?locationCode=00008241&bannerid=DL&source=WCOR,sales,"(7.774415, 44.855186)",10022
32,ELLERO S.R.L.,,www.ellero-fcagroup.it/concessionario/abarth?locationCode=00006981&bannerid=DL&source=WCOR,sales,"(7.491018, 44.649483)",12037
33,Ellero S.r.l.,,www.ellero-fcagroup.it/concessionario/abarth?locationCode=00000491&bannerid=DL&source=WCOR,sales,"(7.812588, 44.398657)",12084
34,TUA S.P.A.,,www.tua-fcagroup.it/concessionario/abarth?locationCode=00007565&bannerid=DL&source=WCOR,sales,"(7.554585, 44.42474)",12100
35,STELLANTIS &YOU TORINO,,www.mirafiorimotorvillage.it/concessionario/abarth?locationCode=00006997&bannerid=DL&source=WCOR,sales,"(7.624568, 45.034276)",10137
36,Torino Auto S.p.A.,,www.torinoauto-fcagroup.it/concessionario/abarth?locationCode=00004018&bannerid=DL&source=WCOR,sales,"(7.615714, 45.032198)",10137
37,Autoingros Torino S.p.A.,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004102&bannerid=DL&source=WCOR,sales,"(7.638524, 45.056967)",10141
38,TORINO AUTO S.P.A.,,www.torinoauto-fcagroup.it/concessionario/abarth?locationCode=00008160&bannerid=DL&source=WCOR,sales,"(7.584874, 45.05268)",10095
39,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005990&bannerid=DL&source=WCOR,sales,"(7.674795, 45.077191)",10122
40,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00006980&bannerid=DL&source=WCOR,sales,"(7.306126, 44.882829)",10064
41,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005974&bannerid=DL&source=WCOR,sales,"(7.68497, 45.106848)",10148
42,FORZA SERVICE S.R.L.,, ,sales,"(7.673155, 45.105282)",10148
43,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004097&bannerid=DL&source=WCOR,sales,"(7.65568, 45.141996)",10071
44,Autoliguria,,www.autoliguria-fcagroup.it/concessionario/abarth?locationCode=00002780&bannerid=DL&source=WCOR,sales,"(8.461721, 44.296338)",17100
45,Grignolio & C. S.r.l.,,www.grignolio-fcagroup.it/concessionario/abarth?locationCode=00000327&bannerid=DL&source=WCOR,sales,"(8.450854, 45.126175)",15033
46,ALESSANDRIA AUTO S.P.A.,,www.alessandriauto.it/concessionario/abarth?locationCode=00003623&bannerid=DL&source=WCOR,sales,"(8.687551, 44.890525)",15122
47,AUTOLIGURIA S.R.L.,,www.autoliguria-fcagroup.it/concessionario/abarth?locationCode=00007175&bannerid=DL&source=WCOR,sales,"(8.189273, 44.055853)",17031
48,AUTOINGROS TORINO S.P.A. - AUTOINGROS,,www.autoingros-fcagroup.it/concessionario/abarth?locationCode=00004097&bannerid=DL&source=WCOR,sales,"(7.65568, 45.141996)",10071
49,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005974&bannerid=DL&source=WCOR,sales,"(7.68497, 45.106848)",10148
50,FORZA SERVICE S.R.L.,, ,sales,"(7.673155, 45.105282)",10148
51,SPAZIO S.P.A.,,www.spazio-fcagroup.it/concessionario/abarth?locationCode=00005990&bannerid=DL&source=WCOR,sales,"(7.674795, 45.077191)",10122
